dataset,model,experiment_type,train_limit,val_limit,test_limit,accuracy,precision,recall,f1_score
concrete_crack_images,MobileNetV2,tuned_transfer_learning_conservative_aug,5000,1000,1000,0.998,0.996078431372549,1.0,0.9980353634577604
concrete_crack_images,MobileNetV2,baseline_transfer_learning,5000,1000,1000,0.997,0.9980276134122288,0.9960629921259844,0.9970443349753696
concrete_crack_images,MobileNetV2,tuned_transfer_learning_conservative_aug,5000,1000,1000,0.996,0.9958847736625516,0.9958847736625516,0.9958847736625516
concrete_crack_images,MobileNetV2,baseline_transfer_learning,5000,1000,1000,0.995,0.9980842911877394,0.9923809523809524,0.9952244508118434
concrete_crack_images,MobileNetV2,tuned_transfer_learning_conservative_aug,5000,1000,1000,0.995,0.9938398357289528,0.9958847736625516,0.9948612538540595
concrete_crack_images,MobileNetV2,tuned_transfer_learning_conservative_aug,5000,1000,1000,0.994,0.9942857142857144,0.9942857142857144,0.9942857142857144
concrete_crack_images,MobileNetV2,baseline_transfer_learning,5000,1000,1000,0.994,0.9938271604938272,0.9938271604938272,0.9938271604938272
concrete_crack_images,MobileNetV2,baseline_transfer_learning,5000,1000,1000,0.993,0.9938144329896909,0.9917695473251028,0.9927909371781668
concrete_crack_images,ResNet50,baseline_transfer_learning,5000,1000,1000,0.932,0.986046511627907,0.8724279835390947,0.925764192139738
concrete_crack_images,EfficientNetB0,baseline_transfer_learning,5000,1000,1000,0.486,0.486,1.0,0.6541049798115747
sdnet2018,MobileNetV2,tuned_transfer_learning_conservative_aug,5000,1000,1000,0.896,0.6829268292682927,0.5637583892617449,0.6176470588235294
sdnet2018,MobileNetV2,tuned_transfer_learning_conservative_aug,5000,1000,1000,0.857,0.5025906735751295,0.6736111111111112,0.5756676557863502
sdnet2018,MobileNetV2,tuned_transfer_learning_conservative_aug,5000,1000,1000,0.845,0.4748858447488584,0.7222222222222222,0.5730027548209367
sdnet2018,MobileNetV2,baseline_transfer_learning,5000,1000,1000,0.858,0.5195530726256983,0.6241610738255033,0.5670731707317073
sdnet2018,MobileNetV2,baseline_transfer_learning,5000,1000,1000,0.862,0.536144578313253,0.5933333333333334,0.5632911392405063
sdnet2018,MobileNetV2,tuned_transfer_learning_conservative_aug,5000,1000,1000,0.84,0.4761904761904761,0.6666666666666666,0.5555555555555556
sdnet2018,MobileNetV2,baseline_transfer_learning,5000,1000,1000,0.834,0.4517543859649123,0.7152777777777778,0.553763440860215
sdnet2018,MobileNetV2,baseline_transfer_learning,5000,1000,1000,0.81,0.4115384615384615,0.7430555555555556,0.5297029702970297
sdnet2018,ResNet50,baseline_transfer_learning,5000,1000,1000,0.323,0.1578947368421052,0.8541666666666666,0.266522210184182
sdnet2018,EfficientNetB0,baseline_transfer_learning,5000,1000,1000,0.144,0.144,1.0,0.2517482517482518
